file,method,ARI,Silhouette,GeneCorr,missing_fraction,run,Marker_CD34,Marker_SPINK2,Marker_SLAMF7,Marker_CD27,Marker_PF4,Marker_PPBP,Marker_CD79B,Marker_CD79A,Marker_MS4A1,Marker_CD19,Marker_CD72,Marker_CD40,Marker_CD22,Marker_NKG7,Marker_GZMB,Marker_FGFBP2,Marker_SPON2,Marker_KLRC1,Marker_KLRD1,Marker_MS4A7,Marker_FCN1,Marker_S100A12,Marker_S100A9,Marker_S100A8,Marker_FCGR3A,Marker_CD14,Marker_LDHB,Marker_CD4,Marker_CD8B,Marker_CD8A,Marker_CD3D,Marker_CD3E,Marker_CD3G
adata_softimpute_imputed_mf10_run1.h5ad,SoftImpute,1.0,,0.868733321247145,0.1,1,,,,,0.6131736040115356,0.6103830337524414,,0.30254796147346497,0.8915293216705322,,,,,,0.9005327224731445,0.9029887914657593,,0.8954569101333618,,,,0.7863435745239258,,,,,,,,,,,
adata_softimpute_imputed_mf10_run10.h5ad,SoftImpute,1.0,,0.8689079056074572,0.1,10,,,,,0.6084581613540649,0.6173759698867798,,0.8991209864616394,0.8655877113342285,,,,,,0.8869958519935608,0.9007349610328674,,0.9251852631568909,,,,0.7904350757598877,,,,,,,,,,,
adata_softimpute_imputed_mf10_run2.h5ad,SoftImpute,1.0,,0.8706704829764701,0.1,2,,,,,0.6046545505523682,0.6114165782928467,,0.8909037113189697,0.9170098900794983,,,,,,0.9078264832496643,0.9072279930114746,,0.8975687026977539,,,,0.7847831845283508,,,,,,,,,,,
adata_softimpute_imputed_mf10_run3.h5ad,SoftImpute,1.0,,0.8675279162328455,0.1,3,,,,,0.6039677858352661,0.6231750249862671,,0.3181312382221222,0.8894043564796448,,,,,,0.8960899114608765,0.8992828130722046,,0.8961454033851624,,,,0.8958127498626709,,,,,,,,,,,
adata_softimpute_imputed_mf10_run4.h5ad,SoftImpute,1.0,,0.8690471427645049,0.1,4,,,,,0.6156373023986816,0.6210373044013977,,0.9029233455657959,0.8984123468399048,,,,,,0.8836430907249451,0.8915483355522156,,0.9236319661140442,,,,0.7898327708244324,,,,,,,,,,,
adata_softimpute_imputed_mf10_run5.h5ad,SoftImpute,1.0,,0.8680370908199553,0.1,5,,,,,0.6090001463890076,0.6099407076835632,,0.314113587141037,0.870826780796051,,,,,,0.896720290184021,0.9073390960693359,,0.8946853876113892,,,,0.7851793169975281,,,,,,,,,,,
adata_softimpute_imputed_mf10_run6.h5ad,SoftImpute,1.0,,0.8688113663583565,0.1,6,,,,,0.6013040542602539,0.615448534488678,,0.30637049674987793,0.9139723181724548,,,,,,0.8949905633926392,0.9036666750907898,,0.8905813097953796,,,,0.7839153409004211,,,,,,,,,,,
adata_softimpute_imputed_mf10_run7.h5ad,SoftImpute,1.0,,0.8694387438690341,0.1,7,,,,,0.6179718375205994,0.6253383755683899,,0.9058889746665955,0.8924915194511414,,,,,,0.9090425372123718,0.8998193740844727,,0.8774235844612122,,,,0.9035767316818237,,,,,,,,,,,
adata_softimpute_imputed_mf10_run8.h5ad,SoftImpute,1.0,,0.8703343369522752,0.1,8,,,,,0.6047585010528564,0.6091685891151428,,0.30608993768692017,0.9041444063186646,,,,,,0.906765878200531,0.903430163860321,,0.8638193607330322,,,,0.7950964570045471,,,,,,,,,,,
adata_softimpute_imputed_mf10_run9.h5ad,SoftImpute,1.0,,0.8705015718683661,0.1,9,,,,,0.6180577278137207,0.6123654246330261,,0.8943802118301392,0.9378377199172974,,,,,,0.896015465259552,0.8992357850074768,,0.8494316935539246,,,,0.7898434996604919,,,,,,,,,,,
adata_softimpute_imputed_mf20_run1.h5ad,SoftImpute,1.0,,0.8219913188419086,0.2,1,,,,,0.6395460963249207,0.6477397084236145,,0.7870472073554993,0.7313117980957031,,,,,,0.8176218867301941,0.7886306047439575,,0.8071213960647583,,,,0.8136712908744812,,,,,,,,,,,
adata_softimpute_imputed_mf20_run10.h5ad,SoftImpute,1.0,,0.8228729296420241,0.2,10,,,,,0.6451914310455322,0.6492712497711182,,0.7872359752655029,0.7951673269271851,,,,,,0.8097078204154968,0.7974749207496643,,0.8009966611862183,,,,0.8121187686920166,,,,,,,,,,,
adata_softimpute_imputed_mf20_run2.h5ad,SoftImpute,1.0,,0.8208947994630312,0.2,2,,,,,0.6431969404220581,0.6437552571296692,,0.7762988805770874,0.8159902691841125,,,,,,0.7977399826049805,0.8045920729637146,,0.8281360268592834,,,,0.8141900897026062,,,,,,,,,,,
adata_softimpute_imputed_mf20_run3.h5ad,SoftImpute,1.0,,0.8224118132307409,0.2,3,,,,,0.6371164321899414,0.6574965715408325,,0.3501269519329071,0.7826758027076721,,,,,,0.807716965675354,0.8003612756729126,,0.8128525018692017,,,,0.8105295896530151,,,,,,,,,,,
adata_softimpute_imputed_mf20_run4.h5ad,SoftImpute,1.0,,0.8203295335420697,0.2,4,,,,,0.6438355445861816,0.6487113833427429,,0.34070077538490295,0.8055468797683716,,,,,,0.7904004454612732,0.8140293955802917,,0.7786617279052734,,,,0.8678570985794067,,,,,,,,,,,
adata_softimpute_imputed_mf20_run5.h5ad,SoftImpute,1.0,,0.8211000104724702,0.2,5,,,,,0.6505393981933594,0.6438820362091064,,0.7753342986106873,0.8157659769058228,,,,,,0.8110526204109192,0.7931022644042969,,0.7744949460029602,,,,0.8232495784759521,,,,,,,,,,,
